,exacttime,Date,Hour,Minute,time,Day,Label,Description,Link,Secondary Link
0,2017-10-08 6:00:00,2017-10-08,6,:00,am,Thursday,"Lawsuit filed opposing the movement of ""Unite the Right"" rally","Jason Kessler, organizer of the ""Unite the Right"" rally, files a federal lawsuit against the city of Charlottesville, Virginia after they move his white nationalist demonstration from Emancipation Park to McIntire Park.",http://www.cavalierdaily.com/article/2017/08/kessler-sues-city-over-decision-to-move-unite-the-right-rally,
1,2017-11-08 14:55:00,2017-11-08,14,:55,pm,Friday,State police and National Guard,"Virginia Gov. Terry McAuliffe declares via Twitter that the Virginia State Police, National Guard and others will be ""on the scene in a support capacity.""",http://www.dailyprogress.com/news/local/judge-allows-unite-the-right-rally-to-stay-in-emancipation/article_9965d0be-7ee6-11e7-ab0e-f342e0cf9488.html,
2,2017-11-08 19:00:00,2017-11-08,19,:00,pm,Friday,University of Virginina march begins,"A group of white nationalists carrying torches marched through the University of Virginia's campus in Charlottesville, Virginia.",http://wjla.com/news/local/protesters-clash-as-white-nationalist-marched-with-torches-at-university-of-virginia,https://twitter.com/RbtKing/status/896192625157582849
3,2017-11-08 19:11:00,2017-11-08,19,:11,pm,Friday,Signer condems UVA march,"The mayor of Charlottesville called the gathering a ""cowardly parade of hatred, bigotry, racism, and intolerance.""",https://www.facebook.com/permalink.php?story_fbid=10155559426310629&id=51200715628,
4,2017-11-08 20:00:00,2017-11-08,20,:00,pm,Friday,Court rules Emancipation Park,A federal judge rules in favor of Kessler; the Saturday event is to be held in Emancipation Park.,http://www.nbc29.com/story/36115819/judge-grants-injunction-jason-kessler-can-have-unite-the-right-rally-at-emancipation-park,
5,2017-12-08 8:30:00,2017-12-08,8,:30,am,Saturday,White nationals and counter-protestors arrive,The rallying white nationalists and a group of counter-protesters arrive at the park long before the event's scheduled start time.,https://twitter.com/VSPPIO/status/896350730138918912,
6,2017-12-08 10:30:00,2017-12-08,10,:30,am,Saturday,White nationals and counter-protestors clash,"Violence breaks out between protesters and counter-protesters. Virginia Police say there are two people who have injuries that are ""serious but not life-threatening.""",https://twitter.com/VSPPIO/status/896379422143639552,
7,2017-12-08 11:35:00,2017-12-08,11,:35,am,Saturday,Unlawful assembly,"Law enforcement declares the gathering an ""unlawful assembly""",https://twitter.com/CvilleCityHall/status/896394775372455936,
8,2017-12-08 11:52:00,2017-12-08,11,:52,am,Saturday,State of emergency,"Governor announces a ""state of emergency.”",https://twitter.com/GovernorVA/status/896399120172232704,
9,2017-12-08 13:19:00,2017-12-08,13,:19,pm,Saturday,Trump tweents condemnation,President Donald Trump takes to Twitter to offer a generic condemnation of the conflict that is unfolding.,https://twitter.com/realDonaldTrump/status/896420822780444672,
10,2017-12-08 13:40:00,2017-12-08,13,:40,pm,Saturday,Counter-protestors targeted with vehicle,"A Dodge Challenger rams into a group of counter-protesters, killing one 32-year-old woman and injuring at least 19 others.",https://twitter.com/VSPPIO/status/896434685206822912,
11,2017-12-08 15:30:00,2017-12-08,15,:30,pm,Saturday,"Trump blames ""many sides""","Trump speaks from his vacation in Bedminster, New Jersey; condemning the violence, he says blame for the events lay on ""many sides."" The sweeping statement earned him criticism from some parties and placed pressure on fellow Republicans to more vehemently condemn the racist viewpoints behind the rally.",https://twitter.com/realDonaldTrump/status/896488914877165569,
12,2017-12-08 17:00:00,2017-12-08,17,:00,pm,Saturday,Helicopter crash,"A Virginia State Police helicopter crashed near Charlottesville, killing the two state troopers riding inside. Officials immediately link the incident to the violence resulting from the rally. Details later released by the National Transportation Safety Board reveal the purpose of the flight was to provide a video feed of activities on the ground; disaster struck shortly after the chopper left ""mission-related activities"" in downtown Charlottesville.",https://twitter.com/ABC/status/896546086093021184,
13,2017-12-08 17:06:00,2017-12-08,17,:06,pm,Saturday,Obama quotes Mandela,"Former president Barack Obama's Twitter response to the Charlottesville rally, in which he posted a quote from Nelson Mandela, receives over 4 million 'likes' and becomes the most 'liked' tweet ever.",https://twitter.com/BarackObama/status/896523232098078720,
14,2017-12-08 17:30:00,2017-12-08,17,:30,pm,Saturday,Marco Rubio tells Trump to act,"Marco Rubio tweets “Very important for the nation to hear @potus describe events in #Charlottesville for what they are, a terror attack by #whitesupremacists”",https://twitter.com/marcorubio/status/896483980857532416,
15,2017-12-08 18:00:00,2017-12-08,18,:00,pm,Saturday,Governor McAuliffe condems white supremacists,"Speaking at a press conference, Gov. McAuliffe vehemently condemns the white supremacists allied with ""United the Right"" and commands them unequivocally: ""Go home.""",http://wset.com/news/nation-world/live-virginia-governor-holds-press-conference-on-violence-in-charlottesville,
16,2017-12-08 21:45:00,2017-12-08,21,:45,pm,Saturday,James Alexander Fields Jr. is identifyed,"The man suspected to be behind the wheel in the car-ramming is identified as James Alexander Fields, Jr. Law enforcement announces three others have been arrested as well.",https://twitter.com/ABC13News/status/896548501919846400,
17,2017-08-13 12:50:00,2017-08-13,12,:50,am,Sunday,Department of Justice launches an investigation,"The Department of Justice has opened a civil rights investigation into the car-ramming, Trump said.",https://www.wsj.com/articles/justice-department-launches-charlottesville-civil-rights-probe-1502644263,
18,2017-08-13 14:00:00,2017-08-13,14,:00,pm,Sunday,Jason Kressler's press conference,"""Unite the Right"" leader Kessler attempts to hold a press conference in Charlottesville. It doesn't go well; a man is arrested for ""spitting"" in his face.",http://wjla.com/news/nation-world/unite-the-right-organizer-holds-a-press-conference-in-charlottesville,https://twitter.com/mykalmphoto/status/896795671562465280?ref_src=twsrc%5Etfw&ref_url=http%3A%2F%2Fwset.com%2Fnews%2Flocal%2Freport-man-arrested-for-spitting-on-organizer-of-unite-the-right-rally
19,2017-08-13 16:00:00,2017-08-13,16,:00,pm,Sunday,Rallies and vigils,Rallies and vigils are held across the country in honor of the three dead and dozens more injured.,http://wjla.com/news/nation-world/nation-rallies-to-stand-in-solidarity-with-charlottesville,"https://twitter.com/MarParNews/status/896808547601854465?ref_src=twsrc%5Etfw&ref_url=http%3A%2F%2Fwset.com%2Fnews%2Flocal%2Fman-hit-by-car-in-charlottesville-wants-answers-whos-accountable-for-heathers-life 
https://twitter.com/KariBealTV/status/896892586224345088?ref_src=twsrc%5Etfw&ref_url=http%3A%2F%2Fwjla.com%2Fnews%2Fnation-world%2Fnation-rallies-to-stand-in-solidarity-with-charlottesville"
20,2017-08-13 16:24:00,2017-08-13,16,:24,pm,Sunday,Marcus Martin,"In Charlottesville, Marcus Martin, also hit by Fields, asks: ""Who is accountable for Heather's life?""",http://wset.com/news/local/man-hit-by-car-in-charlottesville-wants-answers-whos-accountable-for-heathers-life,https://twitter.com/Annie_Andersen/status/896460984960811008?ref_src=twsrc%5Etfw&ref_url=http%3A%2F%2Fwset.com%2Fnews%2Flocal%2Fman-hit-by-car-in-charlottesville-wants-answers-whos-accountable-for-heathers-life
21,2017-08-13 17:30:00,2017-08-13,17,:30,pm,Sunday,Violence nationwide,"In Seattle and elsewhere, some demonstrations turn violent, with protesters clashing with police.",http://komonews.com/news/local/what-you-need-to-know-protests-expected-in-seattle-today,https://twitter.com/PatrickQuinnTV/status/896830461317492737?ref_src=twsrc%5Etfw&ref_url=http%3A%2F%2Fkomonews.com%2Fnews%2Flocal%2Fwhat-you-need-to-know-protests-expected-in-seattle-today
22,2017-08-14 10:00:00,2017-08-14,10,:00,am,Monday,Fields appears in court,"James Alex Fields, Jr., makes his first court appearance. No bond is set for the suspect.",http://wjla.com/news/nation-world/suspect-in-deadly-virginia-car-ramming-during-protest-due-in-court,https://twitter.com/ABC13News/status/897098880898277379?ref_src=twsrc%5Etfw&ref_url=http%3A%2F%2Fwset.com%2Fnews%2Flocal%2Fsuspect-in-deadly-virginia-car-ramming-during-protest-due-in-court
23,2017-08-13 10:30:00,2017-08-13,10,:30,am,Sunday,Fields obsession with Nazism,"More details come out about Fields, the suspect in the car-ramming. His classmates and teachers say he has always been obsessed with Nazism.",http://wjla.com/news/nation-world/suspect-in-deadly-virginia-car-ramming-during-protest-due-in-court,
24,2017-08-14 12:30:00,2017-08-14,12,:30,pm,Monday,"Trump says ""racism is evil""","Trump makes a stronger statement against the violence, this time from the White House. ""Racism is evil,"" the president said.",http://wjla.com/news/nation-world/trump-to-make-announcement-from-white-house,https://twitter.com/ABC/status/897137125598035970
25,2017-08-16 12:00:00,2017-08-16,12,:00,pm,Wednesday,Former Presidents denounce racism,"Regarding the earlier violence in Charlottesville, former presidents George H.W. Bush and George W. Bush call upon incumbent President Trump to ""reject racial bigotry, anti-Semitism and hatred in all forms.""",http://www.businessinsider.com/george-bush-charlottesville-statement-2017-8,https://www.washingtonpost.com/news/politics/wp/2017/08/16/both-bush-presidents-just-spoke-out-on-charlottesville-and-sound-nothing-like-trump/?utm_term=.8ec1c49d61d8
26,2017-08-16 22:30:00,2017-08-16,22,:30,pm,Wednesday,Vigil honors those killed/injured,"Vigil held for Heather and two state troopers by residents and UVA students in Charlottesville. The ceremony was spread by word of mouth, not through the internet.",https://www.nytimes.com/2017/08/16/us/charlottesville-heather-heyer-memorial-mother.html,
27,2018-08-18 10:08:00,2018-08-18,10,:08,am,Friday,Mass resignation on Committee of the Arts and Humanities,"A mass resignation of the President's Committee on the Arts and Humanities is made in protest against Trump's response to the Unite the Right rally in Charlottesville, Virginia.",https://www.bostonglobe.com/lifestyle/names/2017/08/18/president-committee-arts-and-humanities-resigns-masse/Y0mMiOWEjtr0WbuFNZ45dJ/story.html,https://twitter.com/kalpenn/status/898547257062174724?ref_src=twsrc%5Etfw&ref_url=https%3A%2F%2Fwww.bostonglobe.com%2Flifestyle%2Fnames%2F2017%2F08%2F18%2Fpresident-committee-arts-and-humanities-resigns-masse%2FY0mMiOWEjtr0WbuFNZ45dJ%2Fstory.html
28,2018-08-18 14:20:00,2018-08-18,14,:20,pm,Friday,Signer asks for special sessions,Mayor Mike Signer asked the governor of Virginia to call a special session to look into allowing local government more authority when deciding what to do with confederate monuments.,https://www.washingtonpost.com/local/charlottesville-mayor-urging-new-laws-to-empower-localities-suspend-gun-laws/2017/08/18/c8c2b530-8430-11e7-902a-2a9f2d808496_story.html?utm_term=.b7ccd20f62aa,
29,2018-08-18 16:40:00,2018-08-18,16,:40,pm,Friday,Governor McAuliffe denies special sessions,Governor McAuliffe said he would not call the session because of the lawsuit surrounding the statue.,,
30,2018-08-18 18:00:00,2018-08-18,18,:00,pm,Friday,Steve Bannon fired,"Steve Bannon is fired from his positions as the White House Chief Strategist and Senior Counselor to the President. In a statement later, he says ""The Trump presidency we fought for and won is over. We still have this huge movement, and there'll be good days and bad days, but that presidency is over.""",https://www.weeklystandard.com/peter-j-boyer/bannon-the-trump-presidency-that-we-fought-for-and-won-is-over,
31,2017-08-19 11:30:00,2017-08-19,11,:30,am,Saturday,Boston counter-protestors,"Up to 30,000 people gather on Boston Common to protest a right-wing rally, motivated in part as a response to the recent Unite the Right rally in Charlottesville.",https://www.npr.org/2017/08/19/544727385/massive-group-of-counter-protesters-met-free-speech-rally-in-boston,https://twitter.com/davidmackau/status/898929325101252609?ref_src=twsrc%5Etfw&ref_url=https%3A%2F%2Fwww.bustle.com%2Fp%2Fwhat-happened-at-the-boston-free-speech-rally-counter-protesters-showed-up-in-droves-77681
32,2017-08-19 20:38:00,2017-08-19,20,:38,pm,Saturday,Mnuchin defends Trump,Treasury Secretary Steven Mnuchin publicly defended President Trump’s response to Yale classmates and Jewish critics in the most vociferous defense of the President since the “Unite to Right” protest.,https://www.cbsnews.com/news/mnuchin-says-hes-staying-at-treasury-defends-trump-after-classmates-call-to-resign/,https://twitter.com/stevenmnuchin1/status/899068140327325696?ref_src=twsrc%5Etfw&ref_url=https%3A%2F%2Fwww.cbsnews.com%2Fnews%2Fmnuchin-says-hes-staying-at-treasury-defends-trump-after-classmates-call-to-resign%2F
